id,producto,valor_u,cantidad,total,dia_semana
49,Amper MangoLoco,20,4,80,Sabado
50,Amper Original,20,2,40,Martes
51,Amper Original,20,4,80,Jueves
52,Amper Original,20,3,60,Miercoles
53,Amper Calaca,20,5,100,Sabado
54,Amper Original,20,1,20,Lunes
55,Amper Blueberry,20,4,80,Sabado
56,Amper Original,20,1,20,Lunes
57,Amper MangoLoco,20,3,60,Domingo
58,Amper MangoLoco,20,4,80,Sabado
59,Amper MangoLoco,20,5,100,Domingo
60,Amper Blueberry,20,5,100,Miercoles
61,Amper Speed,20,1,20,Sabado
62,Amper MangoLoco,20,2,40,Lunes
63,Amper Blueberry,20,4,80,Lunes
64,Amper Blueberry,20,2,40,Jueves
65,Amper Blueberry,20,2,40,Viernes
66,Amper Calaca,20,2,40,Sabado
67,Amper Blueberry,20,2,40,Sabado
68,Amper Calaca,20,1,20,Miercoles
69,Amper Blueberry,20,2,40,Martes
70,Amper Calaca,20,4,80,Miercoles
71,Amper Calaca,20,2,40,Martes
72,Amper Original,20,4,80,Miercoles
73,Amper Calaca,20,2,40,Domingo
74,Amper Speed,20,3,60,Viernes
75,Amper MangoLoco,20,3,60,Domingo
76,Amper MangoLoco,20,3,60,Lunes
77,Amper Speed,20,5,100,Miercoles
78,Amper Blueberry,20,2,40,Domingo
79,Amper Blueberry,20,2,40,Martes
80,Amper Calaca,20,2,40,Domingo
81,Amper MangoLoco,20,2,40,Miercoles
82,Amper Blueberry,20,4,80,Sabado
83,Amper Original,20,1,20,Sabado
84,Amper Blueberry,20,4,80,Jueves
85,Amper Original,20,5,100,Jueves
86,Amper Original,20,5,100,Sabado
87,Amper Speed,20,2,40,Sabado
88,Amper MangoLoco,20,4,80,Domingo
89,Amper MangoLoco,20,3,60,Sabado
90,Amper MangoLoco,20,5,100,Lunes
91,Amper Original,20,5,100,Sabado
92,Amper MangoLoco,20,5,100,Sabado
93,Amper Calaca,20,5,100,Lunes
94,Amper Original,20,1,20,Domingo
95,Amper Calaca,20,3,60,Domingo
96,Amper MangoLoco,20,2,40,Sabado
97,Amper Speed,20,1,20,Miercoles
98,Amper Original,20,1,20,Jueves
99,Amper MangoLoco,20,3,60,Martes
100,Amper MangoLoco,20,2,40,Miercoles
101,Amper Original,20,1,20,Lunes
102,Amper Calaca,20,1,20,Jueves
103,Amper MangoLoco,20,3,60,Viernes
104,Amper Calaca,20,1,20,Miercoles
105,Amper Blueberry,20,4,80,Viernes
106,Amper Calaca,20,2,40,Sabado
107,Amper Original,20,5,100,Domingo
108,Amper MangoLoco,20,2,40,Miercoles
109,Amper Original,20,5,100,Lunes
110,Amper MangoLoco,20,1,20,Lunes
111,Amper MangoLoco,20,4,80,Martes
112,Amper Blueberry,20,4,80,Jueves
113,Amper Original,20,4,80,Sabado
114,Amper MangoLoco,20,4,80,Domingo
115,Amper Original,20,5,100,Sabado
116,Amper Original,20,1,20,Miercoles
117,Amper MangoLoco,20,4,80,Domingo
118,Amper Original,20,5,100,Sabado
119,Amper Calaca,20,2,40,Viernes
120,Amper Blueberry,20,5,100,Domingo
121,Amper MangoLoco,20,4,80,Martes
122,Amper Original,20,2,40,Sabado
123,Amper Blueberry,20,1,20,Sabado
124,Amper Calaca,20,5,100,Sabado
125,Amper MangoLoco,20,4,80,Viernes
126,Amper MangoLoco,20,2,40,Domingo
127,Amper Calaca,20,3,60,Domingo
128,Amper Original,20,4,80,Sabado
129,Amper MangoLoco,20,2,40,Miercoles
130,Amper MangoLoco,20,3,60,Sabado
131,Amper MangoLoco,20,1,20,Martes
132,Amper Original,20,5,100,Miercoles
133,Amper MangoLoco,20,2,40,Lunes
134,Amper Speed,20,5,100,Viernes
135,Amper Blueberry,20,4,80,Sabado
136,Amper Original,20,4,80,Lunes
137,Amper Original,20,3,60,Sabado
138,Amper MangoLoco,20,1,20,Miercoles
139,Amper Original,20,4,80,Viernes
140,Amper Original,20,4,80,Sabado
141,Amper Blueberry,20,4,80,Miercoles
142,Amper MangoLoco,20,5,100,Martes
143,Amper Speed,20,5,100,Jueves
144,Amper Blueberry,20,5,100,Sabado
145,Amper Speed,20,3,60,Viernes
146,Amper MangoLoco,20,2,40,Domingo
147,Amper Blueberry,20,3,60,Viernes
148,Amper MangoLoco,20,5,100,Domingo
149,Amper Original,20,2,40,Jueves
150,Amper MangoLoco,20,3,60,Viernes
151,Amper MangoLoco,20,2,40,Sabado
152,Amper Original,20,4,80,Sabado
153,Amper Calaca,20,2,40,Jueves
154,Amper Original,20,3,60,Sabado
155,Amper Original,20,3,60,Sabado
156,Amper Original,20,5,100,Lunes
157,Amper Original,20,5,100,Sabado
158,Amper Blueberry,20,2,40,Lunes
159,Amper Blueberry,20,3,60,Jueves
160,Amper Blueberry,20,2,40,Viernes
161,Amper Original,20,2,40,Miercoles
162,Amper Original,20,5,100,Viernes
163,Amper Original,20,5,100,Viernes
164,Amper Original,20,2,40,Sabado
165,Amper Speed,20,5,100,Sabado
166,Amper MangoLoco,20,5,100,Martes
167,Amper Blueberry,20,2,40,Sabado
168,Amper Blueberry,20,3,60,Lunes
169,Amper Original,20,2,40,Jueves
170,Amper MangoLoco,20,4,80,Viernes
171,Amper Original,20,3,60,Martes
172,Amper Blueberry,20,1,20,Jueves
173,Amper Original,20,1,20,Martes
174,Amper Speed,20,4,80,Martes
175,Amper Original,20,4,80,Sabado
176,Amper Blueberry,20,3,60,Lunes
177,Amper Blueberry,20,2,40,Domingo
178,Amper Original,20,2,40,Jueves
179,Amper Speed,20,1,20,Sabado
180,Amper Original,20,1,20,Martes
181,Amper Original,20,1,20,Viernes
182,Amper MangoLoco,20,2,40,Sabado
183,Amper Original,20,5,100,Sabado
184,Amper MangoLoco,20,2,40,Martes
185,Amper Original,20,5,100,Martes
186,Amper Calaca,20,4,80,Domingo
187,Amper MangoLoco,20,5,100,Sabado
188,Amper MangoLoco,20,1,20,Martes
189,Amper Blueberry,20,1,20,Viernes
190,Amper MangoLoco,20,2,40,Martes
191,Amper Blueberry,20,5,100,Sabado
192,Amper Blueberry,20,4,80,Sabado
193,Amper Blueberry,20,2,40,Sabado
194,Amper Blueberry,20,3,60,Viernes
195,Amper Original,20,2,40,Sabado
196,Amper Blueberry,20,4,80,Miercoles
197,Amper Blueberry,20,2,40,Lunes
198,Amper Blueberry,20,1,20,Sabado
199,Amper MangoLoco,20,2,40,Viernes
200,Amper MangoLoco,20,1,20,Miercoles
201,Amper MangoLoco,20,2,40,Miercoles
202,Amper Calaca,20,5,100,Domingo
203,Amper Original,20,2,40,Martes
204,Amper MangoLoco,20,4,80,Sabado
205,Amper Calaca,20,4,80,Jueves
206,Amper Original,20,3,60,Sabado
207,Amper MangoLoco,20,3,60,Lunes
208,Amper MangoLoco,20,4,80,Martes
209,Amper Blueberry,20,5,100,Miercoles
210,Amper Original,20,3,60,Lunes
211,Amper MangoLoco,20,1,20,Jueves
212,Amper Blueberry,20,1,20,Lunes
213,Amper Blueberry,20,2,40,Lunes
214,Amper Calaca,20,4,80,Jueves
215,Amper Blueberry,20,4,80,Martes
216,Amper Original,20,4,80,Sabado
217,Amper Blueberry,20,3,60,Lunes
218,Amper Calaca,20,5,100,Viernes
219,Amper Speed,20,4,80,Domingo
220,Amper Blueberry,20,2,40,Martes
221,Amper MangoLoco,20,2,40,Sabado
222,Amper MangoLoco,20,2,40,Lunes
223,Amper Blueberry,20,5,100,Martes
224,Amper Blueberry,20,2,40,Sabado
225,Amper Original,20,5,100,Lunes
226,Amper Speed,20,4,80,Domingo
227,Amper Calaca,20,3,60,Sabado
228,Amper Blueberry,20,2,40,Sabado
229,Amper MangoLoco,20,4,80,Sabado
230,Amper MangoLoco,20,3,60,Lunes
231,Amper Blueberry,20,1,20,Sabado
232,Amper Original,20,3,60,Sabado
233,Amper Blueberry,20,4,80,Sabado
234,Amper Blueberry,20,3,60,Sabado
235,Amper Blueberry,20,1,20,Sabado
236,Amper Blueberry,20,4,80,Domingo
237,Amper Original,20,2,40,Sabado
238,Amper Blueberry,20,2,40,Viernes
239,Amper Blueberry,20,3,60,Lunes
240,Amper Original,20,5,100,Domingo
241,Amper Blueberry,20,4,80,Domingo
242,Amper Blueberry,20,3,60,Domingo
243,Amper Calaca,20,1,20,Sabado
244,Amper Original,20,2,40,Domingo
245,Amper Blueberry,20,5,100,Domingo
246,Amper Original,20,2,40,Domingo
247,Amper Original,20,4,80,Domingo
248,Amper Original,20,1,20,Domingo
249,Amper Original,20,2,40,Sabado
250,Amper Original,20,2,40,Martes
251,Amper Calaca,20,2,40,Sabado
252,Amper Original,20,3,60,Jueves
253,Amper MangoLoco,20,4,80,Martes
254,Amper Original,20,1,20,Sabado
255,Amper MangoLoco,20,1,20,Lunes
256,Amper MangoLoco,20,5,100,Sabado
257,Amper Original,20,2,40,Miercoles
258,Amper Blueberry,20,3,60,Lunes
259,Amper Original,20,1,20,Miercoles
260,Amper MangoLoco,20,2,40,Viernes
261,Amper Original,20,4,80,Sabado
262,Amper Speed,20,2,40,Sabado
263,Amper Blueberry,20,5,100,Sabado
264,Amper Blueberry,20,3,60,Sabado
265,Amper MangoLoco,20,3,60,Sabado
266,Amper Calaca,20,5,100,Sabado
267,Amper MangoLoco,20,2,40,Viernes
268,Amper MangoLoco,20,2,40,Domingo
269,Amper Blueberry,20,3,60,Sabado
270,Amper MangoLoco,20,1,20,Miercoles
271,Amper MangoLoco,20,4,80,Sabado
272,Amper Original,20,2,40,Sabado
273,Amper Blueberry,20,1,20,Jueves
274,Amper Blueberry,20,3,60,Martes
275,Amper MangoLoco,20,4,80,Sabado
276,Amper MangoLoco,20,5,100,Jueves
277,Amper Speed,20,2,40,Domingo
278,Amper Blueberry,20,2,40,Lunes
279,Amper Original,20,5,100,Viernes
280,Amper Blueberry,20,3,60,Jueves
281,Amper Calaca,20,3,60,Sabado
282,Amper Blueberry,20,3,60,Viernes
283,Amper Calaca,20,2,40,Domingo
284,Amper Original,20,4,80,Lunes
285,Amper MangoLoco,20,3,60,Domingo
286,Amper MangoLoco,20,2,40,Domingo
287,Amper MangoLoco,20,5,100,Martes
288,Amper Calaca,20,1,20,Lunes
289,Amper Original,20,4,80,Sabado
290,Amper Calaca,20,2,40,Martes
291,Amper Original,20,1,20,Domingo
292,Amper MangoLoco,20,1,20,Domingo
293,Amper Blueberry,20,3,60,Jueves
294,Amper Blueberry,20,1,20,Sabado
295,Amper Original,20,2,40,Domingo
296,Amper Blueberry,20,2,40,Domingo
297,Amper MangoLoco,20,5,100,Domingo
298,Amper Blueberry,20,3,60,Lunes
299,Amper Blueberry,20,4,80,Sabado
300,Amper Calaca,20,2,40,Domingo
301,Amper Calaca,20,1,20,Sabado
302,Amper Blueberry,20,5,100,Sabado
303,Amper Blueberry,20,5,100,Domingo
304,Amper MangoLoco,20,3,60,Domingo
305,Amper Blueberry,20,5,100,Sabado
306,Amper Blueberry,20,3,60,Lunes
307,Amper Blueberry,20,2,40,Jueves
308,Amper Original,20,5,100,Martes
309,Amper MangoLoco,20,3,60,Viernes
310,Amper Blueberry,20,2,40,Sabado
311,Amper Calaca,20,3,60,Sabado
312,Amper Blueberry,20,4,80,Lunes
313,Amper Blueberry,20,2,40,Sabado
314,Amper Original,20,4,80,Jueves
315,Amper Original,20,5,100,Viernes
316,Amper Blueberry,20,3,60,Jueves
317,Amper MangoLoco,20,2,40,Sabado
318,Amper Original,20,3,60,Miercoles
319,Amper Original,20,3,60,Jueves
320,Amper MangoLoco,20,5,100,Domingo
321,Amper Calaca,20,4,80,Sabado
322,Amper Blueberry,20,2,40,Lunes
323,Amper Original,20,5,100,Viernes
324,Amper Blueberry,20,4,80,Martes
325,Amper MangoLoco,20,1,20,Viernes
326,Amper Blueberry,20,3,60,Domingo
327,Amper Calaca,20,4,80,Viernes
328,Amper MangoLoco,20,3,60,Domingo
329,Amper Calaca,20,2,40,Domingo
330,Amper Blueberry,20,4,80,Jueves
331,Amper Blueberry,20,2,40,Sabado
332,Amper Blueberry,20,3,60,Sabado
333,Amper Blueberry,20,2,40,Miercoles
334,Amper Blueberry,20,3,60,Jueves
335,Amper Original,20,1,20,Miercoles
336,Amper MangoLoco,20,3,60,Martes
337,Amper Original,20,4,80,Sabado
338,Amper Blueberry,20,1,20,Domingo
339,Amper Blueberry,20,3,60,Jueves
340,Amper Original,20,3,60,Martes
341,Amper Original,20,2,40,Miercoles
342,Amper MangoLoco,20,2,40,Sabado
343,Amper MangoLoco,20,3,60,Jueves
344,Amper MangoLoco,20,5,100,Sabado
345,Amper Calaca,20,5,100,Lunes
346,Amper Original,20,5,100,Miercoles
347,Amper Blueberry,20,3,60,Domingo
348,Amper Calaca,20,1,20,Domingo
349,Amper Calaca,20,1,20,Martes
350,Amper Original,20,3,60,Viernes
351,Amper Blueberry,20,4,80,Domingo
352,Amper MangoLoco,20,5,100,Miercoles
353,Amper Blueberry,20,5,100,Domingo
354,Amper MangoLoco,20,2,40,Miercoles
355,Amper Original,20,2,40,Jueves
356,Amper Blueberry,20,3,60,Martes
357,Amper Original,20,2,40,Martes
358,Amper Speed,20,2,40,Sabado
359,Amper Original,20,4,80,Sabado
360,Amper Original,20,3,60,Sabado
361,Amper Blueberry,20,5,100,Domingo
362,Amper MangoLoco,20,4,80,Sabado
363,Amper Blueberry,20,1,20,Sabado
364,Amper Blueberry,20,4,80,Domingo
365,Amper Blueberry,20,5,100,Sabado
366,Amper Blueberry,20,2,40,Jueves
367,Amper Blueberry,20,3,60,Sabado
368,Amper Blueberry,20,1,20,Martes
369,Amper Blueberry,20,3,60,Martes
370,Amper Blueberry,20,1,20,Sabado
371,Amper Original,20,2,40,Domingo
372,Amper Original,20,1,20,Viernes
373,Amper Speed,20,2,40,Sabado
374,Amper Original,20,1,20,Sabado
375,Amper Blueberry,20,1,20,Lunes
376,Amper Calaca,20,2,40,Domingo
377,Amper Speed,20,2,40,Sabado
378,Amper Blueberry,20,1,20,Domingo
379,Amper Calaca,20,3,60,Lunes
380,Amper Original,20,4,80,Sabado
381,Amper Blueberry,20,3,60,Sabado
382,Amper Original,20,4,80,Sabado
383,Amper Calaca,20,2,40,Martes
384,Amper Original,20,3,60,Martes
385,Amper Calaca,20,4,80,Viernes
386,Amper Original,20,2,40,Jueves
387,Amper MangoLoco,20,5,100,Domingo
388,Amper Original,20,5,100,Jueves
389,Amper Original,20,2,40,Domingo
390,Amper MangoLoco,20,1,20,Miercoles
391,Amper MangoLoco,20,4,80,Sabado
392,Amper Original,20,2,40,Sabado
393,Amper Speed,20,5,100,Miercoles
394,Amper Speed,20,3,60,Viernes
395,Amper Calaca,20,2,40,Lunes
396,Amper Original,20,2,40,Sabado
397,Amper Speed,20,3,60,Viernes
398,Amper Original,20,5,100,Jueves
399,Amper Calaca,20,4,80,Sabado
400,Amper MangoLoco,20,5,100,Viernes
401,Amper MangoLoco,20,5,100,Sabado
402,Amper Original,20,2,40,Sabado
403,Amper Blueberry,20,1,20,Domingo
404,Amper Original,20,3,60,Sabado
405,Amper Original,20,1,20,Viernes
406,Amper Calaca,20,5,100,Jueves
407,Amper Speed,20,3,60,Sabado
408,Amper Blueberry,20,2,40,Jueves
409,Amper Original,20,5,100,Sabado
410,Amper Blueberry,20,3,60,Sabado
411,Amper Blueberry,20,2,40,Viernes
412,Amper Calaca,20,2,40,Jueves
413,Amper MangoLoco,20,5,100,Lunes
414,Amper Blueberry,20,1,20,Domingo
415,Amper Original,20,3,60,Sabado
416,Amper MangoLoco,20,4,80,Sabado
417,Amper Blueberry,20,4,80,Sabado
418,Amper MangoLoco,20,3,60,Sabado
419,Amper Original,20,3,60,Domingo
420,Amper MangoLoco,20,1,20,Sabado
421,Amper Calaca,20,5,100,Sabado
422,Amper Original,20,1,20,Lunes
423,Amper MangoLoco,20,4,80,Lunes
424,Amper Blueberry,20,3,60,Miercoles
425,Amper Calaca,20,5,100,Sabado
426,Amper Original,20,3,60,Domingo
427,Amper MangoLoco,20,3,60,Sabado
428,Amper Speed,20,4,80,Martes
429,Amper Blueberry,20,5,100,Sabado
430,Amper MangoLoco,20,3,60,Lunes
431,Amper Blueberry,20,3,60,Viernes
432,Amper Blueberry,20,2,40,Jueves
433,Amper Blueberry,20,4,80,Martes
434,Amper MangoLoco,20,1,20,Domingo
435,Amper Blueberry,20,5,100,Lunes
436,Amper Blueberry,20,3,60,Martes
437,Amper Calaca,20,2,40,Sabado
438,Amper Blueberry,20,1,20,Lunes
439,Amper Original,20,5,100,Domingo
440,Amper Original,20,5,100,Sabado
441,Amper Speed,20,1,20,Viernes
442,Amper Calaca,20,4,80,Viernes
443,Amper Calaca,20,3,60,Sabado
444,Amper Original,20,5,100,Martes
445,Amper MangoLoco,20,4,80,Viernes
446,Amper Original,20,2,40,Jueves
447,Amper Blueberry,20,4,80,Jueves
448,Amper Original,20,3,60,Lunes
449,Amper Blueberry,20,3,60,Domingo
450,Amper Blueberry,20,2,40,Domingo
451,Amper Blueberry,20,2,40,Viernes
452,Amper Calaca,20,3,60,Miercoles
453,Amper Blueberry,20,2,40,Sabado
454,Amper Original,20,4,80,Sabado
455,Amper Original,20,2,40,Sabado
456,Amper Blueberry,20,4,80,Martes
457,Amper Original,20,3,60,Viernes
458,Amper Blueberry,20,1,20,Sabado
459,Amper Blueberry,20,2,40,Viernes
460,Amper Original,20,5,100,Sabado
461,Amper Original,20,3,60,Sabado
462,Amper MangoLoco,20,4,80,Lunes
463,Amper Calaca,20,3,60,Lunes
464,Amper MangoLoco,20,2,40,Jueves
465,Amper Blueberry,20,5,100,Sabado
466,Amper Blueberry,20,2,40,Domingo
467,Amper Original,20,5,100,Jueves
468,Amper MangoLoco,20,3,60,Viernes
469,Amper Calaca,20,5,100,Lunes
470,Amper Speed,20,3,60,Miercoles
471,Amper Blueberry,20,2,40,Martes
472,Amper Original,20,4,80,Lunes
473,Amper Original,20,2,40,Sabado
474,Amper Blueberry,20,4,80,Domingo
475,Amper MangoLoco,20,3,60,Viernes
476,Amper Blueberry,20,2,40,Domingo
477,Amper Blueberry,20,3,60,Viernes
478,Amper Original,20,2,40,Jueves
479,Amper Blueberry,20,4,80,Sabado
480,Amper MangoLoco,20,2,40,Sabado
481,Amper Calaca,20,3,60,Sabado
482,Amper MangoLoco,20,1,20,Jueves
483,Amper Blueberry,20,1,20,Sabado
484,Amper MangoLoco,20,3,60,Sabado
485,Amper Speed,20,5,100,Martes
486,Amper Calaca,20,2,40,Martes
487,Amper Original,20,1,20,Sabado
488,Amper MangoLoco,20,1,20,Domingo
489,Amper Blueberry,20,5,100,Sabado
490,Amper MangoLoco,20,2,40,Martes
491,Amper MangoLoco,20,4,80,Sabado
492,Amper Original,20,4,80,Viernes
493,Amper Blueberry,20,5,100,Lunes
494,Amper Blueberry,20,4,80,Sabado
495,Amper Speed,20,2,40,Domingo
496,Amper Blueberry,20,5,100,Sabado
497,Amper Original,20,1,20,Viernes
498,Amper MangoLoco,20,2,40,Sabado
499,Amper Original,20,5,100,Domingo
500,Amper Blueberry,20,2,40,Viernes
501,Amper Original,20,1,20,Domingo
502,Amper Blueberry,20,1,20,Domingo
503,Amper Original,20,5,100,Sabado
504,Amper Blueberry,20,3,60,Lunes
505,Amper Blueberry,20,3,60,Viernes
506,Amper Original,20,5,100,Miercoles
507,Amper Calaca,20,2,40,Viernes
508,Amper Blueberry,20,1,20,Jueves
509,Amper Blueberry,20,2,40,Sabado
510,Amper MangoLoco,20,5,100,Domingo
511,Amper Blueberry,20,3,60,Miercoles
512,Amper Original,20,1,20,Domingo
513,Amper MangoLoco,20,4,80,Sabado
514,Amper Blueberry,20,5,100,Sabado
515,Amper Blueberry,20,4,80,Sabado
516,Amper Blueberry,20,1,20,Domingo
517,Amper Calaca,20,2,40,Domingo
518,Amper Calaca,20,5,100,Miercoles
519,Amper Original,20,2,40,Miercoles
520,Amper Original,20,5,100,Jueves
521,Amper MangoLoco,20,1,20,Domingo
522,Amper MangoLoco,20,5,100,Sabado
523,Amper Original,20,5,100,Domingo
524,Amper Original,20,4,80,Lunes
525,Amper Speed,20,3,60,Domingo
526,Amper Original,20,5,100,Martes
527,Amper Blueberry,20,1,20,Lunes
528,Amper Blueberry,20,2,40,Jueves
529,Amper Calaca,20,4,80,Sabado
530,Amper Calaca,20,4,80,Sabado
531,Amper Blueberry,20,2,40,Jueves
532,Amper Blueberry,20,5,100,Miercoles
533,Amper MangoLoco,20,1,20,Martes
534,Amper Original,20,3,60,Miercoles
535,Amper Original,20,2,40,Miercoles
536,Amper Blueberry,20,2,40,Miercoles
537,Amper Calaca,20,2,40,Sabado
538,Amper Original,20,5,100,Jueves
539,Amper Blueberry,20,4,80,Domingo
540,Amper Calaca,20,2,40,Lunes
541,Amper Original,20,1,20,Sabado
542,Amper Calaca,20,1,20,Sabado
543,Amper Original,20,3,60,Miercoles
544,Amper MangoLoco,20,3,60,Sabado
545,Amper Calaca,20,3,60,Sabado
546,Amper Original,20,4,80,Sabado
547,Amper Blueberry,20,2,40,Jueves
548,Amper Original,20,5,100,Sabado
549,Amper MangoLoco,20,3,60,Domingo
550,Amper Blueberry,20,2,40,Lunes
551,Amper Original,20,5,100,Jueves
552,Amper Speed,20,5,100,Domingo
553,Amper Original,20,4,80,Lunes
554,Amper Calaca,20,3,60,Domingo
555,Amper Original,20,5,100,Domingo
556,Amper Original,20,2,40,Miercoles
557,Amper MangoLoco,20,4,80,Miercoles
558,Amper Blueberry,20,5,100,Sabado
559,Amper Calaca,20,1,20,Miercoles
560,Amper Original,20,1,20,Domingo
561,Amper MangoLoco,20,3,60,Viernes
562,Amper Original,20,4,80,Viernes
563,Amper Blueberry,20,4,80,Sabado
564,Amper Original,20,2,40,Jueves
565,Amper MangoLoco,20,2,40,Domingo
566,Amper Original,20,2,40,Domingo
567,Amper MangoLoco,20,3,60,Viernes
568,Amper Blueberry,20,1,20,Domingo
569,Amper Calaca,20,1,20,Sabado
570,Amper Blueberry,20,5,100,Sabado
571,Amper Blueberry,20,4,80,Domingo
572,Amper Blueberry,20,1,20,Domingo
573,Amper Blueberry,20,5,100,Miercoles
574,Amper Blueberry,20,2,40,Sabado
575,Amper Blueberry,20,1,20,Jueves
576,Amper MangoLoco,20,3,60,Viernes
577,Amper MangoLoco,20,2,40,Sabado
578,Amper Calaca,20,2,40,Viernes
579,Amper Original,20,5,100,Viernes
580,Amper Calaca,20,1,20,Sabado
581,Amper Calaca,20,1,20,Viernes
582,Amper MangoLoco,20,4,80,Sabado
583,Amper Blueberry,20,5,100,Miercoles
584,Amper Speed,20,3,60,Jueves
585,Amper Blueberry,20,1,20,Viernes
586,Amper Blueberry,20,1,20,Martes
587,Amper MangoLoco,20,4,80,Domingo
588,Amper Original,20,5,100,Viernes
589,Amper Original,20,1,20,Domingo
590,Amper MangoLoco,20,4,80,Sabado
591,Amper Original,20,3,60,Sabado
592,Amper Blueberry,20,3,60,Lunes
593,Amper Calaca,20,1,20,Sabado
594,Amper Blueberry,20,4,80,Miercoles
595,Amper Calaca,20,4,80,Domingo
596,Amper Blueberry,20,3,60,Sabado
597,Amper Original,20,1,20,Viernes
598,Amper MangoLoco,20,5,100,Martes
599,Amper Blueberry,20,4,80,Lunes
600,Amper Calaca,20,2,40,Lunes
601,Amper MangoLoco,20,3,60,Sabado
602,Amper Original,20,5,100,Viernes
603,Amper MangoLoco,20,2,40,Lunes
604,Amper Original,20,1,20,Viernes
605,Amper Blueberry,20,2,40,Viernes
606,Amper Blueberry,20,4,80,Sabado
607,Amper Blueberry,20,5,100,Sabado
608,Amper MangoLoco,20,4,80,Martes
609,Amper Blueberry,20,2,40,Sabado
610,Amper Blueberry,20,2,40,Martes
611,Amper MangoLoco,20,2,40,Lunes
612,Amper Blueberry,20,2,40,Sabado
613,Amper Blueberry,20,3,60,Sabado
614,Amper Speed,20,5,100,Sabado
615,Amper Calaca,20,2,40,Lunes
616,Amper MangoLoco,20,5,100,Viernes
617,Amper Original,20,4,80,Sabado
618,Amper MangoLoco,20,5,100,Miercoles
619,Amper Original,20,4,80,Domingo
620,Amper Calaca,20,1,20,Lunes
621,Amper MangoLoco,20,4,80,Sabado
622,Amper MangoLoco,20,5,100,Sabado
623,Amper Speed,20,3,60,Domingo
624,Amper Original,20,5,100,Viernes
625,Amper Original,20,3,60,Miercoles
626,Amper Speed,20,5,100,Martes
627,Amper Blueberry,20,4,80,Sabado
628,Amper Blueberry,20,5,100,Domingo
629,Amper Original,20,2,40,Jueves
630,Amper Blueberry,20,5,100,Viernes
631,Amper Calaca,20,2,40,Sabado
632,Amper Original,20,3,60,Viernes
633,Amper Original,20,4,80,Miercoles
634,Amper Blueberry,20,5,100,Sabado
635,Amper Calaca,20,2,40,Sabado
636,Amper Blueberry,20,4,80,Miercoles
637,Amper MangoLoco,20,2,40,Viernes
638,Amper Speed,20,4,80,Domingo
639,Amper Original,20,4,80,Lunes
640,Amper Calaca,20,1,20,Sabado
641,Amper Blueberry,20,1,20,Martes
642,Amper Original,20,4,80,Viernes
643,Amper MangoLoco,20,3,60,Domingo
644,Amper Blueberry,20,4,80,Sabado
645,Amper Blueberry,20,1,20,Domingo
646,Amper Original,20,3,60,Jueves
647,Amper MangoLoco,20,1,20,Viernes
648,Amper MangoLoco,20,3,60,Domingo
649,Amper Original,20,3,60,Domingo
650,Amper Original,20,1,20,Lunes
651,Amper Calaca,20,2,40,Jueves
652,Amper Blueberry,20,1,20,Lunes
653,Amper MangoLoco,20,4,80,Sabado
654,Amper Speed,20,1,20,Jueves
655,Amper Calaca,20,3,60,Sabado
656,Amper Blueberry,20,2,40,Sabado
657,Amper Blueberry,20,1,20,Jueves
658,Amper Speed,20,5,100,Sabado
659,Amper Calaca,20,4,80,Jueves
